"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Foothills Forum",www.rappnews.com,https://foothills-forum.org,"Bud Meyer, William Dietel, Beverly E. Jones, Stephen Brooks, Steve Vick, Sheila Gresinger",Yes,Washington,VA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,1,41-50,0-10,11-20,21-30,"Originally-reported articles, Video, Newsletters, Printed media",,"Website, Social media, Print, Email",,"County/Counties/Regional districts","In-depth feature and explanatory reporting",,"Business, Education & Schools, Environment, Health & Medicine, Planning & Development",,"Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts, Philanthropic funding from major institutions",,,"Major individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Explanatory journalism on our county's broadband and cell-phone coverage (based on a countywide survey we conducted) prompted county leaders to form a citizen committee to address the needs.","Foothills Forum is a nonpartisan, independent 501(c)3 nonprofit, stepping forward with a mission to be a catalyst for community engagement, research and solutions.
Foothills Forum is forming partnerships to:
Frame and research local issues and opinion.
Publish and distribute actionable, solutions-based reports on those issues.
Convene residents and partners in civil discussions on what we can accomplish together."
Greenpointers,,https://greenpointers.com,"Julia Moak",No,"New York",NY,"United States",English,,,LLC,2007,1,81-90,0-10,11-20,0-10,"Events, Originally-reported articles",,Website,,Neighborhood(s),"Hyperlocal community comings and goings",,"Business, Environment, Events in coverage area, Politics, Transportation",,"Ethnic communities, Immigrant communities",,Events,,,Events,,"I don't have a paywall",,"Content Sponsorship, Display",,"Greenpointers continues to answer the call to support our community with accurate information as the impact of COVID-19 is ravaging through North Brooklyn and the greater city. Small business owners tell us that our work helps bring in much needed cash flow as they start to transition to online sales, deliveries, or have fundraisers to support their staff. In recent weeks, we have brought national attention to local heroes and community organizations leading to a surge in fundraising to feed the food insecure. And most importantly, we connect our audience to essential information to navigate the coronavirus crisis - with content that ranges from listing when laundromats and grocery stores are open, to reporting discriminatory graffiti appearing in our parks. Greenpointers also highlights the uplifting stories that show how our community is coping with isolation, including musical performances on apartment balconies and volunteering in various capacities.","Greenpointers.com is a local resource for the thriving and growing Greenpoint community, providing information from a variety of contributors on happenings, events, food and culture.
With a local directory and easy to use calendar, Greenpointers is the go-to website to find out about weekly events in the area. Greenpointers.com also produces local events, like markets, dining and art events, fundraisers and classes."
"High Ground News","Issue Media Group",https://highgroundnews.com,"Paul Schutt, Brian Boyle",Yes,Memphis,TN,"United States",English,,LLC,LLC,2014,2,31-40,11-20,11-20,21-30,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Email, Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Local News, Planning & Development, Social Justice & Inequality",,"Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"This is a core tenant of our coverage--to help underserved, ""news desert"" communities create a robust and nuanced narrative that didn't exist before and to help shine a light on people and orgs who are moving our city forward in the hopes they'll make connections to the resources they need to grow. There have been many real-world impacts. As a direct result of our coverage, groups and individuals have gotten new grants, donors, partners/clients, national coverage, and awards.","We cover Memphis neighborhoods with nuance and center the experience of residents. We expose Memphians to stories of their neighbors across the city. We seek to rebalance the news by exploring challenges while focusing on the people and solutions moving Memphis forward."
"Homewood-Flossmoor Chronicle",,https://hfchronicle.com,"Eric Crump, Marilyn Thomas, Tom Houlihan",Yes,Flossmoor,IL,"United States",English,,LLC,LLC,2014,0,0-10,21-30,31-40,21-30,"Originally-reported articles, Video, Printed media, Social media-only content, Digital marketing services",,"Website, Social media, Third party content platforms",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Government",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Our community was long served by legacy media organizations that abandoned it as the industry contracted. We fill the gap they left, and our readers say they appreciate the information and social cohesion we provide. Our coverage focuses on schools, local government, business and community events because those are the features of our community that readers value most.","The H-F Chronicle is the only newspaper dedicated to covering the Homewood-Flossmoor community. With new stories published daily online at HFChronicle.com, the print edition comes out monthly, reaching more than 12,000 readers."
"Hoptown Chronicle",,https://hoptownchronicle.org/,,Yes,Hopkinsville,KY,"United States",English,,,"Nonprofit 501c(3) or Canadian nonprofit",,1,,,,,"Branded Merchandise, Events, News aggregation, Newsletters, Originally-reported articles",,"Aggregation, Email, Social media, Syndicated feed or content partnerships, Website",,City/Town,"Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Business, Entertainment & Arts, Government, Health & Medicine, Public Policy",,"People of color, Low-income communities",,"Reader membership, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,,,,"Hoptown Chronicle is an independent, nonprofit news outlet that is dedicated to providing fair, fact-based reporting for people who care about Hopkinsville, Kentucky. We believe that public service journalism serves the community’s social, cultural and economic wellbeing by fostering knowledge, connection and meaning."
"Idaho Education News",,https://IdahoEdNews.org,"Jennifer Swindell",No,Boise,ID,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2013,6-10,81-90,0-10,0-10,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Printed media, Video",,"Owned and operated mobile app(s), Social media, Third party content platforms, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Education & Schools",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,,"Idaho Education News is a comprehensive collection of online sources that provides information about public education in Idaho."
"Investigative Newsource dba inewsource",,https://inewsource.org,"Non Profit. Lorie Hearn is the founder",No,"San Diego",CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2009,11-15,71-80,11-20,0-10,0-10,"Events, Newsletters, Originally-reported articles, Video",,"Social media, Syndicated feed or content partnerships, Website",,"City/Town, County/Counties/Regional districts","Investigative news",,"Education & Schools, Government, Social Justice & Inequality",,"People of color, Low-income communities","Military and Veterans","Foundation funding, Major individual gifts, Philanthropic funding from major institutions, Reader membership, Small individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We seek to have tangible impacts as a result of our reporting. That means institutional action to right wrongs and correct inequities. Our stories have changed laws, bettered lives and prompted investigations.","inewsource is a nonprofit, nonpartisan newsroom dedicated to improving lives in the San Diego region and beyond through impactful, data-based investigative and accountability journalism."
"Investigative Post",,https://investigativepost.org,"Jim Heaney",Yes,Buffalo,NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,71-80,0-10,11-20,0-10,"Events, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting, Investigative news",,"Corruption, Crime & Justice, Environment, Politics, Social Justice & Inequality",,"Immigrant communities, Low-income communities",,"Major individual gifts, Philanthropic funding from major institutions, Small individual gifts",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our goal is to spotlight corruption nad wrong doing by those in power.","Investigative Post is one of about 250 nonprofit news organizations that have launched over the past decade across the nation in the face of the decline of local news outlets.
We’re unique in a couple of ways. For starters, Investigative Post is the only news organization in WNY dedicated exclusively to watchdog journalism. We produce fact-based, nonpartisan investigative stories and analyses on issues that matter to the citizens and taxpayers of Buffalo and WNY."
"JTV, Inc.",,https://jtv.tv,"Bart Hawley",Yes,Jackson,MI,"United States",English,,"S Corp","S Corp",2000,11-15,31-40,0-10,11-20,31-40,"Digital marketing services, Originally-reported articles, Video",,"Social media, Television, Website",,"City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings",,"Breaking News, Business, Education & Schools, Entertainment & Arts, Local News",,"Communities with English as a second language, Ethnic communities, People of color, LGBTQI communities, Low-income communities",,"Direct sold advertising, Other Marketing Services",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display, Television sponsorship, Video",,"JTV has become the leader in local news content in our market as the local newspaper has changed to a regional online product. Vital news about the pandemic has been the most impactful to our community primarily because there are no other relevant sources. Our online audience has increased five-fold since March 2020 due to the in-depth and comprehensive pandemic coverage and other news/issues in the community.","JTV and JTV.TV is the hyper-local news and information source serving Greater Jackson Michigan. Founded in 2020, JTV produces 3 hours live daily news and information/talk, extensive local sports, including live games, local news videos, stories, interviews, photo galleries via JTV.TV. JTV Jackson is carried on 4 cable systems and on Amazon Fire, ROKU and Apple TV."
"Kings County Politics","Never Sink Media",https://KingsCountyPolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2015,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,"Several of our stories affect change in the local community.",
"L.A. TACO",,https://lataco.com,"Alex Bloomingdale, Daniel Hernandez",No,"Los Angeles",CA,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2005,3-5,71-80,0-10,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Social media-only content, Video",,Website,,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Crime & Justice, Entertainment & Arts, Food, Transportation",,"Ethnic communities, Immigrant communities",,"Direct sold advertising, Events, Reader subscriptions",,,"Reader membership",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,,"L.A. TACO is a platform for the city of Los Angeles. We are a source of news and information related to food, culture, and community for the metropolitan area. We are independently owned and operated, by L.A. and for L.A.  We aim to bring raw, street-level journalism to our loyal readers, supporters, and members partners who share our passion for Los Angeles."
"La Esquina",,http://laesquina.live,"de León",No,Louisville,KY,"United States",Spanish,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2012,1,91-100,31-40,51-60,51-60,"Digital marketing services, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Single-subject news",,"Business, Crime & Justice, Culture, Education & Schools, Entertainment & Arts, Events in coverage area, Food, Government, Health & Medicine, Immigration, National Security, Politics, Race & Ethnicity, Religion, Social Justice & Inequality",,"Immigrant communities",,,,,,,,,"I don’t sell any advertising products.",,,"La Esquina es una revista online que informa de los acontecimientos que ocurren en el Condado de Jefferson en Kentucky. Buscamos historias humanas que contribuyen al desarrollo en todos los sentidos de la comunidad. Damos voz a nuestra comunidad en tiempo real."
"La Noticia",,https://lanoticia.com,"Alvaro Gurdian, Hilda Gurdian",Yes,Charlotte,NC,"United States",Spanish,,LLC,"S Corp",1994,11-15,31-40,21-30,21-30,11-20,"Digital marketing services, Events, Originally-reported articles, Printed media",,"Social media, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Health & Medicine, Immigration, Sports & Recreation",,"Communities with English as a second language, Ethnic communities, Immigrant communities",,"Direct sold advertising, Events",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We are the bridge to and from the Latino community. We are the ones keeping them updated on all the changes as well as how to find the resources to live in their new communities.","La Noticia, Inc., es una organización de noticias e información en digital e impresos."
LAist,"KPCC, APMG, NPR",https://laist.com,"Southern California Public Radio",No,Pasadena,CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2018,"21 or more",51-60,21-30,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Video",,"Owned and operated mobile app(s), Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Education & Schools, Events in coverage area, Food, Politics, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Foundation funding, Major individual gifts, Reader membership, Small individual gifts",,,"Reader membership",,"I don't have a paywall",,"Content Sponsorship, Display",,"We offer locally focused news that is publicly available. Our organization is known for it's engagement projects, quality of news, and it's focus on making national / state issues locally relevant.","LAist is the trusted friend showing you what's happening in your neighborhood and why it matters. Telling stories from inside the deepest pothole to the top of Mt. Wilson -- and beyond.
We are part of Southern California Public Radio (SCPR), a member-supported public media network that operates across the region, reaching from Santa Barbara down to Los Angeles and Orange Counties, and out to the Coachella Valley. SCPR informs and interacts with our communities on the radio and through our websites, social media, apps and live events."
"Latino Rebels","Futuro Media",https://latinorebels.com,"Futuro Media",Yes,"New York",NY,"United States","Bilingual (Spanish & English)",,"For Profit","Nonprofit 501c(3) or Canadian nonprofit",2011,2,71-80,0-10,0-10,0-10,Events,,"Email, Podcast, Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Curation and commentary",,"Culture, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality",,"Ethnic communities, People of color",,"Events, Foundation funding",,,Events,,,,"Event sponsorship",,"As an independent news site that has focused on covering underserved communities since 2011, our voices and reporting have been featured and cited in several of the most prestigious media sites in the world, including The New York Times, The Washington Post, NBC News, CBS News, ABC News, MSNBC, CNN, Fox News, Le Monde, the BBC, El País and ESPN. Our goal is to always elevate voices that truly reflect the complexities of the U.S. Latino community.","We started as a group of like-minded individuals who knew that digital journalism is real and here to stay. We believe in authentic, unfiltered and independent voices. With over 600 contributors, our stories range from reported articles to opinion pieces about the U.S. Latino world and Latin America."
"Limestone Post Magazine",,https://limestonepost.org,"Ron Eid, Lynae Sowinski",Yes,Bloomington,IN,"United States",English,,LLC,"Nonprofit 501c(3) or Canadian nonprofit",2015,1,71-80,11-20,0-10,11-20,"Originally-reported articles, Video, Events",,Website,,"City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting",,"Entertainment & Arts, Environment, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Small individual gifts, Philanthropic funding from major institutions, Other forms of corporate sponsorship, Business underwriting",,,"Small individual gifts",,"I don't have a paywall",,"Display, Content Sponsorship",,"We report on issues that other local news outlets don't always cover. And because we feature in-depth stories (often more than 3,000 words), our writers dig deeper into topics than other media, especially print and broadcast, are capable of doing. Our contributors represent the ethnic, racial, cultural, and economic diversity of marginalized people in our communities, so our readers hear the voices of people that are so often ignored. Learning more about these underrepresented communities is vital for the health of the community at large.","Limestone Post Magazine is the flagship publication of Limestone Media, Inc., an independent, nonprofit organization created to better inform all residents in Bloomington and the surrounding communities about their vital interests and concerns. Limestone Post publishes inclusive stories covering a range of topics, and since we became a nonprofit in 2019, our focus has shifted even more to solutions-based journalism to show how people and organizations are responding to issues in their communities."
"Long Beach Post",,https://Lbpost.com,"Pacific Community Media",No,"Long Beach",CA,"United States",English,,LLC,LLC,2007,16-20,41-50,21-30,21-30,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Printed media, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town","Single-subject news, Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Food, Government, Planning & Development",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Reader membership, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,,"The Long Beach Post is a daily, digital publication covering news, life, business, placemaking, food, sports, LGBT issues and more in the city of Long Beach, California. The Post continues to invest in expanded coverage of our city and its people, create new technologies to increase our readership, and remain nimble so changing reader demands are opportunities, not threats."
"Lost Coast Outpost","Lost Coast Communications",https://lostcoastoutpost.com,"Lost Coast Communications, Inc.,  Lost Coast Communications",Yes,Ferndale,CA,"United States",English,,LLC,LLC,2011,11-15,51-60,21-30,0-10,11-20,"Originally-reported articles",,"Website, Social media",,"County/Counties/Regional districts","Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Entertainment & Arts, Events in coverage area, Government, Politics",,"Ethnic communities",,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Branded content (e.g. marketing content with editorial review by the advertiser), Classifieds",,"We have become the top source for spot news in our county of 135,000 people, and have produced any number of investigative stories that have reshaped government policy., We are the primary source of investigative reporting in our area, as well as a repository of data of local interest.","The Lost Coast Outpost is Humboldt County’s home page.
It is a project of Lost Coast Communications, an independent, locally owned media company in Humboldt County, California."
Madison365,"365 Media",https://Madison365.org,"Henry Sanders, Robert Chappell, Henry Sanders, Robert Chappell, David Dahmer",Yes,Madison,WI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2015,3-5,61-70,31-40,0-10,0-10,"Digital marketing services, Events, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news","Communities of Color","Education & Schools, Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, People of color",,"Direct sold advertising, Events, Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display",,"We cover many stories that wouldn't have been told. We have developed trust in communities of color such that people bring their stories to us when in the past, they would not have trusted any members of the press; as a result, stories of racism and disparities that would have gone unnoticed are now told and are then spread into the mainstream media. Since our launch other local media outlets have been more intentional about covering communities of color. Our newsroom doubles the number of journalists of color working in Madison.","Madison365 uses excellent journalism to start conversations, find real and lasting solutions, build community, invite action and encourage emerging leaders in Greater Madison’s communities of color, and to foster dialog between members of diverse communities."
"Mahoning Matters/The Compass Experiment",McClatchy,https://mahoningmatters.com,McClatchy,Yes,Youngstown,OH,"United States",English,,"For Profit","For Profit",2019,6-10,11-20,21-30,11-20,21-30,"Events, Newsletters, Originally-reported articles",Audio,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Government, Health & Medicine",,"Ethnic communities, Low-income communities",,"Direct sold advertising, Foundation funding, Grants, Other forms of corporate sponsorship, Small individual gifts",,,Grants,,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Classifieds, Content Sponsorship, Display, Email",,"Our reporting on an emerging local pharmacy desert led to the opening of a formerly-private pharmacy to serve those residents. Reporting on local nursing homes drove more public and government scrutiny during the coronavirus outbreak.","Mahoning Matters is a civic-minded community news source for the city of Youngstown and the Mahoning Valley. We were founded in October 2019 with the mission to tell the stories that matter in Mahoning County and empower citizens to engage in their community with a focus on solutions."
"Manchester Ink Link",,https://manchesterinklink.com,"Carol Robidoux",Yes,Manchester,NH,"United States",English,,LLC,LLC,2014,2,71-80,21-30,0-10,11-20,"Originally-reported articles",,"Email, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings",,"Breaking News, Business",,"Immigrant communities, Low-income communities",,"Business underwriting, Direct sold advertising, Programmatic advertising, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Social Media",,"We believe that an informed community is essential to democracy. We provide opportunities for the community to participate and engage with the news, and the local issues and causes that matter most.","Manchester Inklink is a daily news and information site established in 2014 by journalist Carol Robidoux."
"Milwaukee Neighborhood News Service",,https://milwaukeenns.org,"Marquette University",No,Milwaukee,WI,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2011,1,91-100,0-10,0-10,0-10,"Originally-reported articles, Video",,"Social media, Syndicated feed or content partnerships, Website",,Neighborhood(s),"Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Events in coverage area, Government, Health & Medicine, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions, Small individual gifts",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Display,,,"The Milwaukee Neighborhood News Service, housed in the Diederich College of Communication at Marquette University, is a nonprofit news organization that covers Milwaukee’s diverse neighborhoods. All editorial decisions are made by its staff and do not necessarily reflect the viewpoints of the university.
NNS covers stories that are important to the people who live, work and serve in city neighborhoods, on topics such as education, public safety, economic development, health and wellness, environment, recreation, employment, youth development and housing."
MIWISCONSIN,,http://www.miwisconsin.com,,No,Madison,WI,"United States",Spanish,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,1,,,,,"Newsletters, Podcasts, Social media-only content",,"Email, Podcast, Social media, Text, Website",,"City/Town, County/Counties/Regional districts, State/Province","Breaking News, Hyperlocal community comings and goings, Investigative news, Single-subject news",,"Education & Schools, Government, Health & Medicine, Immigration, Local News",,"Communities with English as a second language, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Classifieds, Direct sold advertising, Events, Foundation funding, Grants",,,"Foundation funding",,"I don't have a paywall",,Display,,,"We are a new Spanish language digital media company that covers the Latino community in Wisconsin."
"MLK50: Justice Through Journalism",,https://mlk50.com,"Founder of Non Profit -Wendi C. Thomas",No,Memphis,TN,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2017,2,81-90,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content",,"Social media, Website",,City/Town,"In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Corruption, Crime & Justice, Environment, Events in coverage area, Government, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Foundation funding, Major individual gifts, Philanthropic funding from major institutions, Small individual gifts",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our reporting led the city's largest nonprofit hospital system, which sued more than 8,300 people over a five-year period for unpaid hospital bills, to overhaul its financial aid policies and erase nearly $12 million in debt for more than 5,300 defendants. https://mlk50.com/mlk50-com-profit/home","A nonprofit reporting project on economic justice. In partnership with the National Civil Rights Museum’s MLK50 commemoration."
"New Jersey Urban News",,https://njurbannews.com,"Dorothy Howell, Penda C. Howell",Yes,Newark,NJ,"United States",English,,LLC,LLC,2019,2,61-70,0-10,0-10,21-30,"Newsletters, Originally-reported articles",,"Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Health & Medicine, Race & Ethnicity, Social Justice & Inequality",,"Ethnic communities, People of color",,"Haven’t generated revenue yet, but intend to do so",,,"Direct sold advertising",,,,,,"New Jersey Urban News provides a platform for news covering and serving marginalized communities of New Jersey. We seek to provide unbiased reporting on issues related to the communities who they impact the most. Communities that are historically underrepresented by providing only the most truthful, reliable, uplifting news-worthy news.","Our mission is to empower the community with local news and information. Our coverage includes community news, city and state, politics, health, business, education, church, sports and arts and entertainment.
The motto of NJ Urban News is ""A Voice for the Voiceless."" We are committed to covering stories often overlooked by mainstream media impacting the 1.1 million people that make up New Jersey's Black community. We are also committed to telling our narrative on our own platform."
"New Mexico In Depth",,https://nmindepth.com,"Trip Jennings",Yes,"Rio Rancho",NM,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,61-70,11-20,0-10,21-30,"Newsletters, Originally-reported articles",,"Print, Social media, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news",,"Crime & Justice, Education & Schools, Government, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,,,,,"Our work has led to the release of a state prison offender and forced local prosecutors to change how they investigate fatal law enforcement shootings. Our investigative work in federal court led judges to sentence individuals swept up in a 2016 drug sting to time served rather than years behind bars as federal prosecutors wanted. Our work has led to changed state laws in the areas of disclosure for lobbyists and state lawmakers. State lawmakers have repeatedly championed issues after we've written about them, including the state's lax approach to collecting racial/ethnic data in the state criminal justice system. .","New Mexico In Depth is a member-supported, digital first, nonpartisan news organization. We were founded in 2012 as a response to ongoing downsizing among traditional news organizations.
Our mission is to produce investigative, data-rich stories with an eye on solutions that can be a catalyst for change.
Through partnership with other news organizations, we expand the reach of our stories. And we invest in the young reporters of tomorrow through fellowships and internships."
"New York County Politics","Never Sink Media",https://www.newyorkcountypolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2019,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,
"No Bull",,,,No,,,"United States",English,,,,,0,,,,,"News aggregation, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Third party content platforms, Website",,City/Town,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Culture, Economics, Housing, Local News, Local Profiles",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,,,,,,,,,,,
