"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Queens County Politics","Never Sink Media",https://www.queenscountypolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2017,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,
"Racine County Eye",,https://racinecountyeye.com,"Denise Lockwood",No,Racine,WI,"United States",English,,LLC,LLC,2013,3-5,71-80,0-10,0-10,0-10,"Originally-reported articles, Newsletters, Social media-only content, Events",,"Website, Social media",,"County/Counties/Regional districts","Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,,,"Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Small individual gifts, Events",,,"Programmatic advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"Racine County Eye has covered racial disparities in the prison system, mental health access issues, and uncovered health issues around the We Energies Oak Creek Power Plant. We've also done deep dive stories around employment and CovId-19.","Timely and up-to-date news for residents of Eastern Racine County."
"Richland Source","Source Media Properties",https://Richlandsource.com,"Carl Fernyak",No,Mansfield,OH,"United States",English,,LLC,LLC,2013,11-15,31-40,31-40,0-10,21-30,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Education & Schools, Entertainment & Arts, Government, Planning & Development, Sports & Recreation",,,,"Direct sold advertising, Other forms of corporate sponsorship, Other Marketing Services, Reader membership",,,"Other Marketing Services",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Video",,"You can see our 2019 annual report here: https://www.sourcemembers.com/2019-annual-report-2","Richland Source is a nationally recognized online community news organization founded in 2013. We serve the citizens of North Central Ohio. We are driven by a deeply-held belief that news organizations - especially now - serve their community best when they are involved in it"
"Route 40",,https://rtforty.com,"Elinor Comlay, Bill Sprouse",Yes,"Atlantic City",NJ,"United States",English,,LLC,LLC,2016,0,81-90,0-10,0-10,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Environment, Government, Immigration, Planning & Development, Social Justice & Inequality",,"Communities with English as a second language, Immigrant communities",,"Reader membership, Small individual gifts, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Email,,"Most of our inpact boils down to quality-of-life improvements made by city/county officials once we draw attention to, for example, a vacant lot that is full of used syringes or trash.","Route 40 is a web-based local journalism startup covering South Jersey, with a particular emphasis on fresh reporting on Atlantic City and its surrounding towns."
"Sapulpa Times",,https://sapulpatimes.com,"Micah Choquette",No,Sapulpa,OK,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2015,0,0-10,11-20,31-40,51-60,"Digital marketing services, Newsletters, Originally-reported articles, Podcasts, Printed media, Social media-only content",,"Print, Social media, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Education & Schools, Events in coverage area, Government, Planning & Development",,,,"Direct sold advertising, Reader subscriptions",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"With a focus on hyper local news, we keep our community informed of all important happenings in education, politics, and disaster response. In 2020 we're covering the Coronavirus in our town with enough breadth and information to combat a town twice our size. Since debuting in 2015, our website traffic has grown to about 50,000 views a month, and our newspaper has growing to over 120 subscribers. That's despite having another newspaper here in town that has been here for over 100 years. We have one of the largest Facebook Pages in the county, with nearly 12,000 followers that read our content regularly.","Established in 2015, Sapulpa Times is a print and online news outlet dedicated to telling the stories of the people and events in the town of Sapulpa, OK and nearby communities."
SiouxFalls.business,,https://siouxfalls.business,"Jodi Schwan",No,"Sioux Falls",SD,"United States",English,,LLC,"S Corp",2017,2,71-80,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Food, Health & Medicine, Planning & Development",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"We have become the go-to source for business reporting in our community, covering issues that includes decision-makers. We also have directly impacted the growth of local artists' businesses through a brand we run featuring local makers.","SiouxFalls.Business is a locally owned digital news organization serving the Sioux Falls, S.D., business community.
Our mission is to inform, connect and engage the Sioux Falls business community through content and experiences."
SpokaneFāVS,,https://spokanefavs.com,"Tracy Simmons",No,Spokane,WA,"United States",English,,LLC,"Nonprofit 501c(3) or Canadian nonprofit",2012,0,41-50,0-10,11-20,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, Single-subject news",,Religion,,"Ethnic communities, Immigrant communities, LGBTQI communities, People of color",,"Direct sold advertising, Events, Grants, Reader membership, Small individual gifts",,,Grants,"Community center","I don't have a paywall",,"Content Sponsorship, Display",,"We have created community, education, religious literacy, filled news void","SpokaneFāVS provides non-sectarian coverage of religion, spirituality and ethics in the Inland Northwest. We promote dialogue through online journalism and community engagement opportunities."
"St Tammany Community News","St Tammany Community News",https://facebook.com/St-Tammany-Community-News-107502747277045/?view_public_for…,"Ann Benoit",Yes,Covington,LA,"United States",English,,LLC,LLC,2019,1,0-10,81-90,11-20,0-10,"Originally-reported articles, Video, Social media-only content",,"Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Events in coverage area, Food, Government, Religion",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser)",,"When a hit and run happened in a local subdivision at 10:30 at night. I was able to cover the story, contact local people in the area, run photos of the car. When the young man's family saw the car and all the local coverage, he turned himself in at 2:00 am. I was able to cover that as well. By 3:00 am I had covered the entire incident while other news organizations had not. I have also been very successful with the return of lost pets and personalizing local restaurant owners with the general populace. For example, when one person who is a local influencer complained about service at a local restaurant, I was able to inform the influencer and the public that the owner had lost her only son to cancer 3 days earlier, resolving the situation.",
SweetwaterNOW,,https://sweetwaternow.com,"Gary Collins, Carlo Harryman",Yes,"Rock Springs",WY,"United States",English,,LLC,LLC,2013,6-10,31-40,31-40,21-30,21-30,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Events in coverage area, Government, Politics",,"Low-income communities",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"We have filled the void of community interaction and action by inspiring others to help out in our community and also to highlight those businesses and individuals who are doing great things. Our state is rural by nature, we have bridged the gap of very small communities to their larger cities/towns to help with resources and more. We also provide the most indepth government and political coverage in our region., In just over 6 years we've become the most-read news source in southwest Wyoming. We have been able to connect small communities whose newspapers closed, or who did not have access to regional news prior. We have become a go-to business for many resources other than news and also were a big part of championing small business during COVID-19","As the #1 media site in Southwest Wyoming, we focus on professional reporting and coverage of community events and regional news. We take pride in being locally-owned in a day when most newspapers are being bought out by the largest publishing companies in the world."
"TAPinto Morristown",TAPinto,https://tapinto.net/towns/morristown,"Susie Scholz",No,Morristown,NJ,"United States",English,,LLC,LLC,2004,2,21-30,21-30,21-30,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media",,"Neighborhood(s), City/Town","Single-subject news, Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Politics, Sports & Recreation",,,,"Direct sold advertising, Classifieds, Events",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"TAP into Morristown is an all-online, objective, newspaper serving the residents, organizations, and business owners of Morristown, New Jersey."
"The Badger Project",,https://thebadgerproject.org,"Non Profit",No,Madison,WI,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,71-80,11-20,0-10,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news",,"Government, Politics",,,Rural,"Small individual gifts",,,"Small individual gifts",,,,"I don’t sell any advertising products.",,"By partnering with newspapers and other news organizations, we hope to get stories on policy decisions and campaign finance at the state level to the citizens and voters most affected. We also strive to do work and make connections that aren't already being done and made.","The Badger Project is a nonpartisan, citizen-supported journalism nonprofit in Wisconsin which investigates state government, politics and related matters."
"The Harrisonburg Citizen",,https://hburgcitizen.com,"Andrew Jenner, Ryan Alessi, Bridget Manley",Yes,Harrisonburg,VA,"United States",English,,LLC,LLC,2018,0,11-20,11-20,21-30,11-20,"Originally-reported articles, Newsletters, Events, Social media-only content, Video",,"Website, Social media",,City/Town,"Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Education & Schools, Entertainment & Arts, Environment, Energy, Government, Politics, Race & Ethnicity, Social Justice & Inequality",,,,"Direct sold advertising, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"Display, Content Sponsorship",,"Our site is being increasingly recognized in the community as the leading source of in-depth news about local government, education and other important civic issues.","The Citizen is an independent source of news for the people of Harrisonburg, Virginia. Our goal is to tell the important and interesting stories that are otherwise un- or under-covered in our community. We will report aggressively and fairly on behalf of everyone who lives here, and will not place any content behind a paywall. The Citizen is funded by local advertisers and readers who support its mission."
"The Ithaca Voice",,https://ithacavoice.com,"Non Profit",No,Ithica,NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,3-5,51-60,11-20,0-10,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Single-subject news, Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Environment, Government, Planning & Development",,"Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts, Philanthropic funding from major institutions, Other forms of corporate sponsorship",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Display,,"We are the single largest media outlet in the county delivering real time breaking news from within the community. We are the only outfit with actual feet on the ground.","The Ithaca Voice is a nonprofit digital news site with a mission to improve civic and political understanding in Ithaca and Tompkins County by publishing and sustaining in-depth, educational, rigorous, timely and ethical journalism that all residents can access free of charge online."
"The Last Ambulance",,https://www.thelastambulance.com/,,Yes,Shefford,QC,Canada,"English, French",,"For Profit","For Profit",,1,61-70,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Website",,Multi-state/Multi-province,"Breaking News, Curation and commentary, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Health & Medicine, Politics, Social Justice & Inequality",,"Communities with English as a second language, Indigenous Populations, Low-income communities",,"Reader subscriptions",,,"Reader subscriptions",,,,"I don’t sell any advertising products.",,"I'm very proud to report The Last Ambulance has had an outsized impact on the way emergency prehospital care is delivered across Québec. Our articles have been the catalyst for multiple coroner's inquests, protocol changes, and more equitable access to timely and quality emergency care.","The Last Ambulance is focused on the crisis in emergency prehospital care. We share perspectives from personnel on the frontlines and the communities they serve."
"The Oaklandside",,https://oaklandside.org,,Yes,Oakland,CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",,"21 or more",71-80,11-20,,11-20,"Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Text, Website",,City/Town,"In-depth feature and explanatory reporting",,"Crime & Justice, Education & Schools, Government, Housing, Social Justice & Inequality",,"People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Grants, Major individual gifts, Other forms of corporate sponsorship, Philanthropic funding from major institutions, Reader membership",,,"Major individual gifts",,,,"Event sponsorship, Display, Email",,"Even though it's just over a year old, The Oaklandside has had a profound effect on providing communities in Oakland with vital information to help understand and respond to policy, get the most out of their city, and learn about key issues in the city.","We’re a small but mighty team of local journalists working for Oakland. We amplify community voices, share the power of real information, and investigate systems, not just symptoms."
"The Reader",,https://thereader.com,"John Heaston",No,Omaha,NE,"United States",English,,"S Corp","S Corp",1994,6-10,41-50,31-40,21-30,11-20,"Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content, Video",,"Aggregation, Social media, Third party content platforms, Website",,City/Town,"In-depth feature and explanatory reporting, Investigative news",,"Government, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Direct sold advertising, Other Marketing Services",,,"Other Marketing Services",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Video",,"We strive to provide news not deeply covered by the mainstream media with a focus on underserved communities, and increasingly, solutions-oriented coverage. We've tipped elections with our endorsements, run corrupt public officials out office, restored voting access, exposed practices that prey on the poor and just last week were the first in our state to cover the shortage of reagents limiting COVID-19 testing capabilities. 
We have been on the forefront of Omaha's cultural explosion over the last 25 years. We're a leader in our city and state in collaborative coverage, not only with El Perico (we own), but also the local Hispanic and Black press, community radio, journalism start-ups and local TV.
After 26 years, where to start? Our collaborative journalism leadership has had a direct impact on progressive change in our community in a multitude of ways. One prime example is the time we helped facilitate a Brown-Black alliance to fight a draconian closing of polling places ahead of the 2012 election. Our investigative reporting and data analysis, shared with the local ABC affiliate, helped these communities fight to restore more than a 1/2 of polling places that were to be closed. From beating the New York Times and The Economist on the multi-path appeals-court tactics of local immigration ordinances driven by nativist Kris Kobach, to tipping the balance in elections to stop a nativist mayor, to highlighting inequities in the justice system that allow companies to exploit debts of the poor built on ProPublica coverage, we have been instrumental to building a progressive dialogue in our community. 
Prior to the pandemic, having brought the Solutions Journalism Network to introduce solutions journalism to media ranging from community and rural radio, to the daily newspaper and local network affiliates, we were poised to work with local foundations to bring Impact Media Funders to Omaha to help build a framework for local, diverse media support, built around progressive issues-focused coverage. 
We have worked closely over the years to cover and provide offline support to the efforts of community organizing groups like the Heartland Workers Center to help drive double digit increases in voter engagement in targeted Black and Hispanic precincts. With hundreds of job fairs under our belt, thousands of local HR contacts and tens of thousands of registered job-seekers on OmahaJobs.com, we’re best positioned to bring new skills and to help transform the local economy with an empowered workforce.","The Reader is Nebraska’s only nationally-recognized alternative newsmonthly, part of the Pioneer Publishing family which also includes El Perico and OmahaJobs.com. Pioneer Publishing is a private, family-held business consisting of 6 media channels — two print, four online — with an established market share in Omaha’s fastest-growing and active demographic and advertising segments and one of the most established, local freelance content provider networks."
"The Shenandoah Sentinel",,http://www.shensentinel.com/,,Yes,Shenandoah,PA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",,0,71-80,11-20,11-20,0-10,"Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Breaking News, Crime & Justice, Events in coverage area, Government, Local News",,"Low-income communities",,"Direct sold advertising, Reader membership, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"Content Sponsorship, Display, Social Media",,,"The Shenandoah Sentinel is a hyper-local website covering northern Schuylkill County, Pennsylvania. The Sentinel covers pretty much anything that is notable to the residents of the region -- news, sports, you name it."
"The Tennessee Holler",,https://TNHoller.com,"Justin Kanew",Yes,Memphis,TN,"United States",English,,LLC,LLC,2019,1,81-90,0-10,0-10,11-20,"Newsletters, Originally-reported articles, Podcasts, Printed media, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Investigative news",,"Corruption, Education & Schools, Health & Medicine, Politics, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Reader membership, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We’ve brought national attention to a number of local issues and had an impact on many state legislative issues.","The Tennessee Holler is an audience-supported progressive news site with a series of active social media feeds that seeks to amplify voices throughout Tennessee and YELL THE TRUTH about what’s really happening in our state: @TheTNHoller, @MemphisHoller, @KnoxvilleHoller with more to follow."
"This Is Reno",,https://thisisreno.com,"Bob Conrad",No,Reno,NV,"United States",English,,LLC,LLC,2009,1,61-70,11-20,21-30,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"City/Town, State/Province","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Entertainment & Arts, Environment, Energy, Events in coverage area, Food, Gender Identity, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Religion, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Reader membership, Reader subscriptions, Foundation funding, Small individual gifts, Events",,,"Direct sold advertising",,"Hybrid model (some free content, separate premium tier)",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"This Is Reno is your source for daily Reno news and events for Reno, Sparks, the Truckee Meadows and beyond. We were founded in 2009 and are locally owned and operated."
"Times of San Diego",,https://timesofsandiego.com,"Chris Jennewein",No,"San Diego",CA,"United States",English,,LLC,LLC,2014,3-5,61-70,0-10,0-10,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"County/Counties/Regional districts",,,"Crime & Justice, Education & Schools, Entertainment & Arts, Military, Politics",,,"Younger Generations, Military and Veterans","Direct sold advertising, Programmatic advertising",,,"Programmatic advertising",,,,"Content Sponsorship, Display",,"Comprehensive local news coverage that appeals to a younger audience. Investigative success such as reporting the first FBI raid on Rep. Duncan Hunter. Comprehensive coverage of the Navy and Marines in a major military city.","Times of San Diego is an independent, online news site covering the fifth most populous county in the United States."
"Tribeca Citizen",,https://tribecacitizen.com,"Pam Frederick",No,"New York",NY,"United States",English,,LLC,LLC,2009,1,71-80,0-10,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,Neighborhood(s),"Hyperlocal community comings and goings",,"Business, Entertainment & Arts, Events in coverage area, Food, Planning & Development",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,,
"Universal Hub",,https://universalhub.com,"Adam Gaffin",Yes,Boston,MA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2005,1,81-90,0-10,0-10,0-10,"Originally-reported articles, Social media-only content",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, In-depth feature and explanatory reporting, Single-subject news",,"Crime & Justice, Government, Planning & Development, Politics, Transportation",,"Ethnic communities, Low-income communities, People of color",,"Programmatic advertising, Reader membership, Small individual gifts",,,"Programmatic advertising",,,,"Content Sponsorship, Display",,"Boston is a strong MSM market, but it tends to miss neighborhood-specific news, from approvals of new buildings and restaurants to non-murder crime news; this is the niche I fill.","Universal Hub, started in 2005, is a community news and information site for the Boston area based on the idea that residents can help keep themselves informed. Combining reports from a pool of hundreds of local bloggers, photographers and tweeters, Universal Hub posts daily news and links, often before the mainstream media, and gives local folks a place to discuss the day's events - and to post news on their own."
"Valley Independent Sentinel","Online Journalism Project",https://valley.newhavenindependent.org,"Paul Bass",No,"lower Naugatuck Valley",CT,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2009,1,71-80,0-10,0-10,11-20,"Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Website",,City/Town,"Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Government, Planning & Development, Politics",,"Low-income communities",,"Philanthropic funding from major institutions",,,"Foundation funding",,,,"Content Sponsorship, Display",,"We have pushed local government to be more open, adapt to social media, exposed corruption","A publication Monday through Friday covering news in Connecticut’s lower Naugatuck Valley — and just the lower Naugatuck Valley."
"Vancouver Is Awesome","Glacier Media",https://vancouverisawesome.com,"LMP Publication Limited Partnership",No,Vancouver,BC,Canada,English,,"Sole Proprietor/no specific tax status",Partnership,2008,6-10,21-30,21-30,0-10,11-20,"Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Owned and operated mobile app(s), Social media, Syndicated feed or content partnerships, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, Single-subject news",,"Crime & Justice, Entertainment & Arts, Events in coverage area, Food, Politics, Transportation",,,,"Direct sold advertising, e-Commerce, Programmatic advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We keep people, including ex-pats, connected to their city in a way that's uplifting and encourages them to participate.","We publish Vancouver news, lifestyle and culture stories, keeping readers up to date on everything happening in their city."
Vngle,,https://vngle.com,"Blake Stoner",No,,,"United States",English,,LLC,LLC,2016,3-5,31-40,11-20,21-30,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality, Culture",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Programmatic advertising",,"I don't have a paywall",,"Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Our goal is to address news deserts and report on the underrepresented.","Vngle is a decentralized grassroots news network bringing coverage to underreported parts of society. We address news deserts, areas that get limited to no news coverage, by capturing human-interests stories that go underrepresented."
W42ST,,https://w42st.com,"Phil O'Brien",Yes,"New York",NY,"United States",English,,LLC,LLC,2015,2,31-40,21-30,11-20,0-10,"Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Social media, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings",,"Entertainment & Arts, Events in coverage area, Food, Lifestyle",,"LGBTQI communities",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship",,"The W42ST audience is as diverse as the Hell’s Kitchen community we serve. The hard-working readership is economically diverse, 30% identify as LGBTQ+. More than half of our audience has been hard-hit by the crisis (51% percent of readers are employed in the creative and/or entertainment sectors). The local service industry based around restaurants, bars and coffee shops has been decimated. (Source: W42ST reader survey December 2019). During the COVID-19 crisis, Hell’s Kitchen has been at the center of world news - Javits Center, USNS Comfort, Times Square, and Broadway are all on our patch.The neighborhood spans 100 blocks (from W34th St to W59th St and 8th Avenue to the Hudson River). It is an increasingly ethnically diverse neighborhood (45% of the neighborhood is non-white - 20% of residents identify as LatinX, 19% identify as Asian, and 6% identify as Black); 26% of residents are first-generation immigrants. Hell’s Kitchen is also an economically diverse neighborhood - household income ranges from","W42ST was launched in October 2014, a print magazine defiantly making a stand for quality and authenticity in a culture increasingly stuck on a digital hamster wheel of screen time."
"What's Up Newp","What's Up New England",https://whatsupnewp.com,"Ryan Belmore",No,Newport,RI,"United States",English,,LLC,LLC,2012,1,61-70,41-50,31-40,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Entertainment & Arts, Events in coverage area, Food, Government",,"LGBTQI communities, Low-income communities",,"Direct sold advertising, Reader membership, Small individual gifts, Events",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"What’s Up Newp is dedicated to covering all that’s happening, new and to do in and around Newport, Rhode Island."
"windsoriteDOTca News",,https://windsorite.ca,"Owen Wolter",No,Windsor,ON,Canada,English,,"Sole Proprietor/no specific tax status","S Corp",2010,3-5,51-60,21-30,0-10,0-10,"Originally-reported articles, Video, Social media-only content, Digital marketing services, Printed media, Events",,"Website, Social media, Third party content platforms, Print",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Crime & Justice, Events in coverage area, Health & Medicine, Planning & Development",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"windsoriteDOTca News has reshaped the local news landscape in our community by focusing on local event coverage, promotion of local businesses, and distribution of accurate information to the public.","windsoriteDOTca - windsor’s neighbourhood news, is Windsor Ontario’s #1, locally-owned, online newspaper.
Since launching in 2010, we’ve covered the news stories everyone has been talking about, have been a reliable, consistent source of daily news and have brought readers news as it breaks.
We’re Windsor’s online destination for what’s called hyperlocal news, that is, stories about what literally happens on a neighbourhood level — in your neighbourhood."
WisCommunity,,https://wis.community,"Steve Hanson",Yes,Menomonie,WI,"United States",English,,LLC,LLC,2016,1,51-60,11-20,11-20,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms",,"County/Counties/Regional districts","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings",,"Environment, Events in coverage area, Food, Government, Politics",,,,"Programmatic advertising, Reader membership, Major individual gifts",,,"Reader membership",,"I don't have a paywall",,"Display, Video",,"We provide government transparency, development of ties between community organizations, survival information in the COVID-19 crisis.","Wiscommunity is an attempt to build on-line communities that are constructed from a collection of
micro-sites on the web. At the same time, Wiscommunity maintains the feel of a mailing list because
discussions can still take place purely through an email mechanism."
